ticket_text,true_label,pred_zero_shot,pred_top3
connection with icon icon dear please setup icon per icon engineers please let other details needed thanks lead,Hardware,Access,"['Access', 'Purchase', 'Miscellaneous']"
work experience user work experience user hi work experience student coming next his name much appreciate him duration thank,Access,Access,"['Access', 'Purchase', 'Internal Project']"
requesting for meeting requesting meeting hi please help follow equipments cable pc cord plug,Hardware,Access,"['Access', 'Hardware', 'Purchase']"
reset passwords for external accounts re expire days hi ask help update passwords colleagues thank pm expire days importance high hi received about expiration please kindly help prolongation best regards pm expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours,Access,Access,"['Access', 'Administrative rights', 'HR Support']"
mail verification warning hi has got attached please addresses best regards monitoring analyst verification warning,Miscellaneous,Access,"['Access', 'Purchase', 'Storage']"
mail please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,Miscellaneous,Access,"['Access', 'Purchase', 'Storage']"
prod servers tunneling prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre re tunneling si pm acre re tunneling extended object host extended host extended object host range extended host range administrator re sector pm acre re tunneling va la si la tunneling design lead ext friday pm re tunneling va extended object host extended host administrator re sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,Hardware,Purchase,"['Purchase', 'Access', 'Storage']"
access request dear modules report report cost thank much regards,HR Support,Access,"['Access', 'Purchase', 'Miscellaneous']"
reset passwords for our client and passwords client dear please passwords thank,Access,Access,"['Access', 'Purchase', 'Storage']"
direct reports missing time please action reports dear way help close these maternity leave complete submit her left he technically left he client work after rd submit after delete period days two public holidays possible add thanks please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,HR Support,Access,"['Access', 'Purchase', 'HR Support']"
laptop connected on request rebuild connected rebuild hi please provide order debug sip trunk gateway wireless wired connected regards,Hardware,Access,"['Access', 'Hardware', 'Purchase']"
device recovery report printer alert duplex unit is not set device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,Miscellaneous,Hardware,"['Hardware', 'Storage', 'Purchase']"
new starter hello please fill date,HR Support,Access,"['Access', 'Purchase', 'Internal Project']"
visual studio license visual studio license hello developer visual studio license thank best regards developer,Access,Purchase,"['Purchase', 'Access', 'Internal Project']"
system hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,Purchase,Purchase,"['Purchase', 'Access', 'Internal Project']"
access for secondary secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst,Access,Access,"['Access', 'Purchase', 'Administrative rights']"
list sent copy copy hi receive copy behavior expect receive myself thanks front developer,Purchase,Access,"['Access', 'Storage', 'Purchase']"
new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
invitation to cloud strategy workshop february manchester invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,Hardware,Access,"['Access', 'Purchase', 'Storage']"
change sales owner for contract change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm,Miscellaneous,Access,"['Access', 'Administrative rights', 'Purchase']"
